duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
6.3,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
6.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.32,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
6.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.42,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.45,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
6.47,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.48,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
6.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.55,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.6,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.63,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.63,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.77,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.83,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.87,2013-08-29,2013,08,29,3,San Jose,San Jose,Customer
6.87,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
6.87,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Customer
6.88,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.93,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.98,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.98,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.0,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.03,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.07,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.17,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.17,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.17,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.22,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.35,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.42,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.48,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.57,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
7.57,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
7.58,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.67,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Subscriber
7.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
